Tax_name        Class_name
Brachionus_plicatilis   Eurotatoria
Bugula_neritina Gymnolaemata
Macracanthorhynchus_hirudinaceus        Archiacanthocephala
Brachionus_calyciflorus Eurotatoria
Doryteuthis_pealeii     Cephalopoda
Krohnitta_subtilis      Sagittoidea
Crasiella       
Redudasys_fornerise     
Dactylopodola_agadasys  
Pteria_penguin  Bivalvia
Parasteatoda_tepidariorum       Arachnida
Pachymerium_ferrugineum Chilopoda
Phoronis_australis      
Lepidodermella_squamata 
Lepidochaetus_zelinkai  
Tubiluchus_corallicola  Priapulimorpha
Dracoderes_abei Cyclorhagida
Didymodactylos_carnosus Eurotatoria
Aspidiophorus_tentaculatus      
Centroderes_spinosus    Cyclorhagida
Pomphorhynchus_laevis   Palaeacanthocephala
Congeria_kusceri        Bivalvia
Parasagitta_elegans     Sagittoidea
Trichobilharzia_regenti Trematoda
Ellobium_chinense       Gastropoda
Diuronotus_aspetos      
Thaidasys_tongiorgii    
Bugulina_stolonifera    Gymnolaemata
Limnognathia_maerski    Micrognathozoa
Fustiaria_rubescens     Scaphopoda
Veleropilina_oligotropha        Monoplacophora
Epiperipatus_broadwayi  Udeonychophora
Adineta_ricciae Eurotatoria
Enoplolaimus_lenunculus Enoplea
Lepidochitona_cinerea   Polyplacophora
Watersipora_subatra     Gymnolaemata
Dimorphilus_gyrociliatus        Polychaeta
Loxosomella_nordgaardi  
Loxomitra_sp._KK-2020   
Bactrocera_dorsalis     Insecta
Ridgeia_piscesae        Polychaeta
Nanogona_polydesmoides  Diplopoda
Carpetania_matritensis  Clitellata
Capitella_teleta        Polychaeta
Paramacrobiotus_metropolitanus  Eutardigrada
Vannuccia_rotundouncinata       Rhabditophora
Proteocephalus_fallax   Cestoda
Calicophoron_daubneyi   Trematoda
Monomorium_pharaonis    Insecta
Litigonotus_ghinii      
Verpa_penis     Bivalvia
Macrodasys_meristocytalis       
Chaetonotus_apolemmus   
Laqueus_californianus   Rhynchonellata
Tenuignathia_rikerae    
Paraspadella_gotoi      Sagittoidea
Symbion_americanus      
Proales_similis Eurotatoria
Pterosagitta_draco      Sagittoidea
Musellifer_delamarei    
Gyrodactylus_salaris    Monogenea
Rotaria_socialis        Eurotatoria
Notospermus_geniculatus Pilidiophora
Adineta_steineri        Eurotatoria
Whitmania_pigra Clitellata
Phoronis_ovalis 
Geonemertes_pelaensis   Enopla
Schmidtea_polychroa     Rhabditophora
Paralvinella_palmiformis        Polychaeta
Cryptosula_pallasiana   Gymnolaemata
Echinorhynchus_gadi     Palaeacanthocephala
Gordius_albopunctatus   Gordioida
Owenia_fusiformis       Polychaeta
Helobdella_robusta      Clitellata
Sipunculus_nudus        Sipuncula
Artemia_franciscana     Branchiopoda
Tubulanus_polymorphus   Palaeonemertea
Cristatella_mucedo      Phylactolaemata
Macrostomum_hystrix     Rhabditophora
Tachypleus_tridentatus  Merostomata
Sepiola_atlantica       Cephalopoda
Mermis_nigrescens       Enoplea
Schistocephalus_solidus Cestoda
Lingula_anatina Lingulata
Ophiocomidae    Ophiuroidea
Taenia_hydatigena       Cestoda
Tectura_virginea        Gastropoda
Lineus_longissimus      Pilidiophora
Ramazzottius_varieornatus       Eutardigrada
Membranipora_membranacea        Gymnolaemata
Pseudobiceros_splendidus        Rhabditophora
Norana_najaformis       Clitellata
Euwallacea_fornicatus   Insecta
