Specie  Phylum  Class   Order   Family  Genus
Brachionus_plicatilis   Rotifera        Eurotatoria     Ploima  Brachionidae    Brachionus
Bugula_neritina Bryozoa Gymnolaemata    Cheilostomatida Bugulidae       Bugula
Macracanthorhynchus_hirudinaceus        Acanthocephala  Archiacanthocephala     Oligacanthorhynchida    Oligacanthorhynchidae   Macracanthorhynchus
Brachionus_calyciflorus Rotifera        Eurotatoria     Ploima  Brachionidae    Brachionus
Doryteuthis_pealeii     Mollusca        Cephalopoda     Myopsida        Loliginidae     Doryteuthis
Krohnitta_subtilis      Chaetognatha    Sagittoidea     Aphragmophora   Krohnittidae    Krohnitta
Crasiella       Gastrotricha            Macrodasyida    Planodasyidae   Crasiella
Redudasys_fornerise     Gastrotricha            Macrodasyida            Redudasys
Dactylopodola_agadasys  Gastrotricha            Macrodasyida    Dactylopodolidae        Dactylopodola
Pteria_penguin  Mollusca        Bivalvia        Pterioida       Pteriidae       Pteria
Parasteatoda_tepidariorum       Arthropoda      Arachnida       Araneae Theridiidae     Parasteatoda
Pachymerium_ferrugineum Arthropoda      Chilopoda       Geophilomorpha  Geophilidae     Pachymerium
Phoronis_australis      Phoronida                       Phoronidae      Phoronis
Lepidodermella_squamata Gastrotricha            Chaetonotida    Chaetonotidae   Lepidodermella
Lepidochaetus_zelinkai  Gastrotricha            Chaetonotida    Chaetonotidae   Lepidochaetus
Tubiluchus_corallicola  Priapulida      Priapulimorpha  Priapulimorphida        Tubiluchidae    Tubiluchus
Dracoderes_abei Kinorhyncha     Cyclorhagida            Dracoderidae    Dracoderes
Didymodactylos_carnosus Rotifera        Eurotatoria     Philodinida     Philodinidae    Didymodactylos
Aspidiophorus_tentaculatus      Gastrotricha            Chaetonotida    Chaetonotidae   Aspidiophorus
Centroderes_spinosus    Kinorhyncha     Cyclorhagida    Kentrorhagata   Centroderidae   Centroderes
Pomphorhynchus_laevis   Acanthocephala  Palaeacanthocephala     Echinorhynchida Pomphorhynchidae        Pomphorhynchus
Congeria_kusceri        Mollusca        Bivalvia        Myida   Dreissenidae    Congeria
